Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,09/09/17,Asteras Tripolis,Lamia,1,3,A,0,2,A,1.55,3.3,8.5,1.57,3.5,7.75,1.55,3.4,6.75,1.57,3.3,7,1.59,3.7,7.95,1.57,3.25,7,1.55,3.4,7,30,1.64,1.57,3.7,3.4,8.5,6.77,27,2.83,2.68,1.46,1.43,10,-0.75,1.82,1.79,2.16,2.08,1.75,3.45,6.15
G1,09/09/17,Atromitos,Giannina,0,0,D,0,0,D,2,3.1,4.2,2.1,3.1,4,2.05,3,3.85,2.05,2.9,3.8,2.11,3.15,4.3,2,2.9,4,2.05,3,3.9,31,2.14,2.04,3.15,3,4.3,3.83,27,2.79,2.64,1.5,1.44,10,-0.25,1.81,1.76,2.17,2.11,1.96,3.31,4.68
G1,09/09/17,Xanthi,Olympiakos,1,1,D,1,1,D,9,4.2,1.4,8.5,4.25,1.44,8.5,4,1.4,,,,9.22,4.24,1.47,9,3.75,1.4,9,3.9,1.4,30,9.22,8.36,4.25,3.98,1.47,1.4,24,2.5,2.34,1.62,1.55,11,1.25,1.83,1.78,2.19,2.09,6.8,3.97,1.6
G1,10/09/17,AEK,Larisa,4,0,H,2,0,H,1.2,6,15,1.25,5.75,14,1.2,5.75,14.25,1.2,5.75,17,1.24,6.45,15.5,1.18,6,13,1.17,6,17,30,1.25,1.19,6.8,5.91,17,13.64,28,1.88,1.78,2.1,1.98,11,-1.75,1.93,1.89,2.01,1.95,1.18,7.54,20.57
G1,10/09/17,Kerkyra,Panathinaikos,1,0,H,1,0,H,7,3.5,1.57,6.75,3.6,1.6,6.25,3.6,1.55,,,,7.41,3.93,1.57,6,3.5,1.57,6.5,3.6,1.55,30,7.41,6.32,3.93,3.56,1.63,1.55,26,2.48,2.35,1.58,1.55,10,0.75,2.23,2.13,1.83,1.75,5.78,3.54,1.76
G1,10/09/17,Levadeiakos,Platanias,1,1,D,0,0,D,2.25,3.1,3.3,2.3,3,3.5,2.25,2.9,3.45,2.2,2.87,3.5,2.26,3.1,3.82,2.2,2.8,3.6,2.15,2.9,3.7,31,2.38,2.22,3.1,2.9,3.82,3.45,27,3,2.79,1.48,1.4,10,-0.25,2.02,1.91,2.03,1.94,2.07,3.13,4.5
G1,10/09/17,Panionios,Panetolikos,1,1,D,0,0,D,1.65,3.3,6.5,1.65,3.3,7,1.65,3.3,5.75,1.67,3.25,5.8,1.71,3.51,6.42,1.67,3.25,5.5,1.62,3.4,6,31,1.75,1.65,3.51,3.32,7,5.72,27,2.74,2.59,1.5,1.46,11,-0.75,1.96,1.9,2.01,1.96,1.88,3.4,5.01
G1,11/09/17,Apollon,PAOK,0,0,D,0,0,D,10,4.33,1.36,8,4.2,1.45,8.25,4.05,1.4,9,4,1.4,10.15,4.6,1.41,8,4,1.4,8.5,4,1.4,29,10.15,8.48,4.6,4.1,1.45,1.38,25,2.28,2.15,1.68,1.64,10,1.25,1.89,1.84,2.07,2,6.59,4.02,1.59
G1,16/09/17,Levadeiakos,Xanthi,1,0,H,1,0,H,2.3,3,3.4,2.45,2.95,3.3,2.4,2.85,3.25,2.35,2.87,3.25,2.55,3.06,3.27,2.38,2.8,3.2,2.4,2.88,3.2,33,2.55,2.39,3.06,2.87,3.4,3.17,29,3,2.76,1.45,1.41,11,0,1.74,1.66,2.31,2.23,2.81,3.03,2.95
G1,16/09/17,Olympiakos,Asteras Tripolis,1,1,D,0,0,D,1.22,6,13,1.22,6.25,13.5,1.22,5.75,11.25,1.22,5.5,13,1.25,6.45,13.99,1.25,5,11,1.2,5.75,12,34,1.25,1.22,6.5,5.65,15,11.77,28,1.62,1.57,2.4,2.29,11,-1.75,1.97,1.92,1.99,1.92,1.22,7.1,15
