name,ideology
dvizhenie za prava i svobodi,liberal democrat
GERB,conservative
Movement for Rights and Freedoms,liberal democrat
bspasek,social democrat
Coalition for Bulgaria,social democrat
MRF (MRF - Liberal Union - EuroRoma),liberal democrat
obedinenie za tsarya,conservative
National Movement Simeon II (NMS),liberal democrat
suyuz na demokratichnite sili - tsentur,conservative
bsp+,social democrat
obedinenie na natsiyata - dvizhenie na onepravdanite,far right
