name,ideology
Grenada United Labour Party,social democrat
New National Party,conservative
People’s Democratic Movement,social democrat
grenada united labour party,social democrat
people’s alliance,communist
National Democratic Congress,liberal-socialist
national party,conservative
Action Council,other
Grenada National Party,conservative
Grenada Mental and Manual Workers Union,social democrat
new national party,conservative
Independent,other
national democratic congress,liberal-socialist
