name,ideology
Orange Democratic Movement,liberal democrat
baluhya political union,other
kenya african national union,one party state
independent,other
kenya african democratic union,regionalist
democratic party,conservative
forum for the restoration of democracy-asili,conservative
The National Alliance,conservative
