name,ideology
Mozambican National Resistance,conservative
Green Party of Mozambique,green
Social Liberal and Democratic Party,liberal democrat
Party of Freedom and Solidarity,other
Labor Party,social democrat
Liberation Front of Mozambique,social democrat
RENAMO-Electoral Union,conservative
