name,ideology
partido reformista - movimiento nacional de la juventud,christian democrat
partido revolucionario dominicano,social democrat
partido reformista social cristiano,christian democrat
partido reformista,christian democrat
movimiento nacional de la juventud,christian democrat
movimiento de integracion democratica,christian democrat
partido nacionalista revolucionario democratico,conservative
partido de la liberacion dominicana,social democrat
union civica nacional,regionalist
