name,ideology
alianza por el cambio,conservative
partido acción nacional,conservative
partido de la revolución democrática,social democrat
alianza para todos,social democrat
alianza por méxico,social democrat
partido de la revolución demócratica,social democrat
coalición por el bien de todos,social democrat
partido revolucionario institucional,regionalist
