name,ideology
all nigeria people's party,conservative
people's democratic party,conservative
united nigeria people's party,conservative
all progressive grand alliance,social democrat
united democratic party,conservative
progressive action congress,social democrat
national conscience party,social democrat
people's mandate party,other
new nigeria people's party,conservative
