name,ideology
jiyû minshu tô,conservative
minshu jiyû tô,liberal-socialist
nihon shakai tô,social democrat
kokumin kyôdô tô,conservative
nihon jiyû tô,liberal democrat
kaishin tô,liberal democrat
uha shakai tô,social democrat
nihon minshu tô,liberal-socialist
shin jiyû tô,liberal democrat
minshu tô,liberal-socialist
jiyû tô,liberal democrat
