name,ideology
People’s Action Movement,conservative
St. Kitts Workers’ League,social democrat
Nevis Reformation Party,liberal democrat
St. Kitts-Nevis-Anguilla Labour Party,social democrat
St. Kitts-Nevis Labour Party,social democrat
Concerned Citizens’ Movement,conservative
United Nevis Movement,regionalist
Independent,other
