name,ideology
bondeförbundet,liberal democrat
centerpartiet,liberal democrat
elected,other
frisinnade folkpartiet,liberal democrat
högerpartiet,conservative
liberala,liberal democrat
moderata,conservative
moderata samlingspartiet,conservative
moderate party,conservative
social democratic party,social democrat
sveriges kommunistiska parti,communist
sveriges socialdemokratistiska arbatereparti,social democrat
vänstersocialister,social democrat
