name,ideology
Botswana People’s Party,social democrat
botswana peoples party,social democrat
Independence Freedom Party,regionalist
botswana national front,social democrat
botswana democratic party,conservative
botswana congress party,social democrat
Botswana Democratic Party,conservative
botswana independence party,regionalist
Botswana National Front,social democrat
