name,ideology
coalition republic,conservative
coalition treaty,conservative
cumann na ngaedheal,regionalist
fianna fáil,liberal democrat
fine gael,christian democrat
independents,other
labour party,social democrat
national league,regionalist
non party / independent,other
republicans,social democrat
