name,ideology
Nationale Democratische Partij,social democrat
Nieuwe Front voor Democratie en Ontwikkeling (2010),social democrat
Progressieve Arbeiders en Landbouw Unie,social democrat
Volksalliantie,regionalist
Millenium Combinatie,regionalist
Mega Combinatie,social democrat
Nieuwe Front voor Democratie en Ontwikkeling (2005),social democrat
A Combinatie,other
