name,ideology
Partido Liberal Independiente,liberal democrat
Alianza Liberal,liberal democrat
Unión Nacional Opositora,other
Frente Sandinista de Liberación Nacional,social democrat
Alianza Liberal Nicaragüense,liberal democrat
Partido Liberal Constitucionalista,liberal democrat
