name,ideology
Lesotho Workers Party,other
Democratic Congress,other
All Basotho Convention/Kobo Tata ea Basotho,other
Basotho National Party,other
Marematlou Freedom Party,other
Lesotho Congress for Democracy,other
Basotho Congress Party,other
National Independent Party,other
