Kieskring,Arrondissement,Kanton,Gemeente
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Vilvoorde#Vilvorde,Machelen
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Vilvoorde#Vilvorde,Zemst
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Zaventem,Zaventem
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Zaventem,Steenokkerzeel
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Zaventem,Overijse
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Zaventem,Hoeilaart
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Sint-Genesius-Rode#Rhode-Saint-Genèse
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Drogenbos
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Linkebeek
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Wemmel
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Kraainem
Brussel-Halle-Vilvoorde,Halle-Vilvoorde#Hal-Vilvorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Wezembeek-Oppem
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Brussel#Bruxelles,Brussel#Bruxelles
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Anderlecht,Anderlecht
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Anderlecht,Sint-Agatha-Berchem#Berchem-Sainte-Agathe
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Elsene#Ixelles,Elsene#Ixelles
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Elsene#Ixelles,Oudergem#Auderghem
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Elsene#Ixelles,Watermaal-Bosvoorde#Watermael-Boitsfort
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Ganshoren
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Jette
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Sint-Jans-Molenbeek#Molenbeek-Saint-Jean,Koekelberg
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Sint-Gillis#Saint-Gilles,Sint-Gillis#Saint-Gilles
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Saint-Josse-ten-Noode#Sint-Joost-ten-Node
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Etterbeek
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Sint-Lambrechts-Woluwe#Woluwé-Saint-Lambert
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Saint-Josse-ten-Noode#Sint-Joost-ten-Node,Sint-Pieters-Woluwe#Woluwé-Saint-Pierre
