Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
D1,09/09/17,Hoffenheim,Bayern Munich,2,0,H,1,0,H,6,23,3,6,15,9,2,4,3,1,0,0,7,4.5,1.45,6.75,4.75,1.44,7,4.5,1.45,6.5,4.6,1.44,6.87,4.94,1.49,7,4.5,1.44,6.25,5,1.45,32,7.19,6.51,5.15,4.73,1.53,1.46,24,1.49,1.44,3,2.74,14,1.25,1.95,1.86,2.08,2.01,6.95,5.04,1.47\r
D1,09/09/17,Mainz,Leverkusen,3,1,H,1,1,D,14,13,5,2,16,15,1,3,2,2,0,0,3,3.4,2.38,2.95,3.4,2.4,2.65,3.3,2.65,2.87,3.4,2.35,3,3.55,2.44,2.88,3.4,2.4,2.9,3.5,2.45,32,3,2.91,3.55,3.44,2.65,2.4,30,1.83,1.77,2.12,2.05,15,0.25,1.85,1.81,2.12,2.07,3.51,3.68,2.16\r
D1,09/09/17,M'gladbach,Ein Frankfurt,0,1,A,0,1,A,15,12,3,6,17,17,13,5,3,2,0,0,1.83,3.6,4.5,1.85,3.6,4.25,1.85,3.5,4.3,1.85,3.5,4.2,1.9,3.75,4.4,1.85,3.5,4.33,1.87,3.7,4.33,32,1.91,1.86,3.75,3.59,4.52,4.26,31,2,1.92,1.97,1.88,16,-0.5,1.9,1.86,2.06,2.02,1.98,3.61,4.19\r
D1,09/09/17,Wolfsburg,Hannover,1,1,D,0,0,D,17,7,6,2,13,20,3,1,0,1,0,0,1.83,3.6,4.5,1.85,3.5,4.4,2,3.4,3.8,1.83,3.5,4.4,1.84,3.69,4.86,1.85,3.5,4.33,1.85,3.6,4.6,32,2,1.85,3.69,3.54,4.86,4.4,31,2.09,2.02,1.86,1.8,15,-0.5,1.87,1.84,2.08,2.04,1.86,3.73,4.64\r
D1,10/09/17,Hertha,Werder Bremen,1,1,D,1,0,H,8,10,4,5,9,12,5,7,1,0,0,0,1.91,3.6,4,1.95,3.5,4,2,3.4,3.8,1.95,3.4,3.75,2.04,3.62,3.96,1.95,3.5,3.8,2,3.6,3.8,32,2.05,1.98,3.62,3.49,4,3.84,31,1.93,1.87,2.01,1.94,14,-0.5,2.04,1.99,1.92,1.88,2.15,3.51,3.7\r
D1,10/09/17,Schalke 04,Stuttgart,3,1,H,1,1,D,12,11,4,2,15,19,2,1,1,1,0,0,1.7,3.75,5,1.75,3.8,4.75,1.8,3.6,4.5,1.7,3.75,4.75,1.72,3.98,5.27,1.7,3.75,4.8,1.75,3.9,4.75,32,1.8,1.72,4,3.82,5.27,4.78,30,1.86,1.77,2.1,2.05,14,-0.75,1.99,1.94,1.98,1.93,1.79,3.84,5\r
D1,15/09/17,Hannover,Hamburg,2,0,H,0,0,D,17,12,4,3,17,16,4,7,1,0,0,0,1.95,3.5,4,1.95,3.5,4,2.2,3.3,3.35,2.1,3.2,3.6,2,3.51,4.22,2,3.4,3.8,2,3.5,4,35,2.2,1.97,3.58,3.45,4.22,3.96,33,2.15,2.07,1.82,1.76,17,-0.5,2.01,1.97,1.95,1.9,1.96,3.63,4.24\r
D1,16/09/17,Bayern Munich,Mainz,4,0,H,2,0,H,28,11,14,4,9,5,10,5,2,2,0,0,1.13,10,19,1.12,9.5,18.5,1.15,7.5,18,1.14,8,21,1.17,8.92,18.75,1.12,8,21,1.17,8.5,17,34,1.18,1.15,10,8.49,21,17.51,25,1.38,1.33,3.5,3.25,15,-2.25,2.05,1.99,1.9,1.87,1.17,8.59,19.37\r
D1,16/09/17,Ein Frankfurt,Augsburg,1,2,A,0,1,A,23,11,8,3,13,13,4,4,2,3,0,0,1.85,3.5,4.5,1.87,3.4,4.5,1.85,3.5,4.3,1.87,3.3,4.5,1.88,3.59,4.77,1.85,3.4,4.33,1.87,3.5,4.6,35,1.91,1.86,3.59,3.43,4.77,4.49,33,2.33,2.25,1.68,1.64,17,-0.5,1.9,1.86,2.05,2.01,1.91,3.55,4.63\r
D1,16/09/17,RB Leipzig,M'gladbach,2,2,D,2,1,H,10,10,3,3,13,12,3,2,1,1,1,0,1.67,3.8,5.5,1.65,4.1,5,1.7,3.7,5,1.67,3.9,5,1.7,4.08,5.36,1.67,3.8,5,1.7,4.1,4.8,35,1.71,1.67,4.2,3.97,5.5,4.99,33,1.73,1.67,2.26,2.19,15,-0.75,1.92,1.87,2.03,1.99,1.73,4.19,4.91\r
