Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
P1,09/09/17,Maritimo,Rio Ave,1,0,H,0,0,D,2.88,3,2.63,2.75,3.1,2.6,2.6,3.2,2.6,2.7,3,2.65,2.86,3.16,2.77,2.75,3,2.6,2.75,3.13,2.75,34,2.88,2.73,3.2,3.04,2.82,2.65,28,2.43,2.34,1.6,1.56,13,0,2,1.94,1.96,1.91,2.73,3.05,3.03\r
P1,09/09/17,Porto,Chaves,3,0,H,0,0,D,1.14,7.5,19,1.14,7.5,17.5,1.17,6.5,14,1.14,7,23,1.18,8.02,18.56,1.15,7,15,1.14,7.5,23,34,1.18,1.15,8.25,7.32,23.8,17.25,28,1.56,1.53,2.51,2.43,13,-2,1.86,1.82,2.12,2.05,1.14,9.35,24.12\r
P1,09/09/17,Tondela,Pacos Ferreira,2,2,D,1,0,H,2.4,3.1,3.1,2.45,3.1,2.95,2.6,3.2,2.6,2.35,3,3,2.48,3.22,3.21,2.5,3,2.88,2.45,3.13,3.1,34,2.6,2.41,3.22,3.08,3.21,2.99,28,2.5,2.35,1.61,1.56,12,-0.25,2.13,2.09,1.83,1.79,2.29,3.31,3.49\r
P1,10/09/17,Estoril,Moreirense,0,2,A,0,1,A,1.95,3.1,4.33,1.95,3.2,4.1,2,3.2,3.75,1.95,3.1,3.9,1.95,3.44,4.51,2,3.2,3.75,1.93,3.3,4.33,32,2,1.94,3.44,3.24,4.51,4.05,27,2.4,2.31,1.64,1.58,12,-0.5,1.99,1.95,1.97,1.92,1.97,3.46,4.38\r
P1,10/09/17,Guimaraes,Boavista,1,0,H,0,0,D,1.95,3.4,3.8,1.95,3.25,4,2,3.2,3.75,1.95,3.1,3.9,2,3.39,4.34,2,3.2,3.75,1.95,3.3,4.2,33,2.05,1.97,3.4,3.24,4.34,3.9,28,2.32,2.26,1.66,1.61,13,-0.5,2.02,1.98,1.93,1.89,1.92,3.38,4.81\r
P1,10/09/17,Setubal,Sp Braga,2,0,H,2,0,H,3.1,3,2.45,2.95,3,2.5,2.9,3.15,2.4,3,3,2.37,3.24,3.23,2.46,3,3,2.4,3.13,3.1,2.45,33,3.24,3.01,3.23,3.06,2.57,2.42,28,2.4,2.33,1.63,1.57,12,0.25,1.85,1.8,2.14,2.08,3.24,3.27,2.44\r
P1,11/09/17,Aves,Belenenses,2,1,H,1,1,D,2.15,3.2,3.5,2.15,3.1,3.5,2.2,3.1,3.3,2.15,3,3.4,2.26,3.18,3.75,2.15,3.1,3.4,2.2,3.13,3.6,32,2.3,2.18,3.2,3.1,3.75,3.45,27,2.52,2.4,1.57,1.54,12,-0.25,1.93,1.89,2.02,1.98,2.37,3.21,3.43\r
P1,15/09/17,Pacos Ferreira,Setubal,1,0,H,0,0,D,2.3,3,3.4,2.25,2.95,3.5,2.2,3.1,3.3,2.25,3,3.3,2.4,2.97,3.66,2.38,2.75,3.4,2.38,2.9,3.5,37,2.43,2.31,3.1,2.93,3.66,3.39,31,3.18,2.91,1.48,1.38,15,-0.5,2.43,2.33,1.66,1.63,2.55,3.01,3.32\r
P1,16/09/17,Boavista,Benfica,2,1,H,0,1,A,7.5,4.5,1.4,7,4.2,1.45,6.3,3.9,1.5,8,4.2,1.4,8.31,4.54,1.46,6,4,1.5,8,4.5,1.44,35,8.31,7.34,4.65,4.25,1.5,1.43,34,1.98,1.88,1.95,1.89,13,1.25,1.88,1.84,2.07,2.02,8.95,4.42,1.45\r
P1,16/09/17,Maritimo,Aves,2,1,H,2,0,H,2.1,3.2,3.6,2.1,3.1,3.7,2.1,3.15,3.45,2.15,3,3.5,2.2,3.26,3.78,2.15,3.1,3.4,2.15,3.2,3.7,35,2.2,2.12,3.26,3.14,3.9,3.55,30,2.42,2.3,1.62,1.58,13,-0.5,2.19,2.14,1.77,1.74,2.06,3.21,4.39\r
P1,16/09/17,Sp Lisbon,Tondela,2,0,H,1,0,H,1.14,7.5,17,1.14,7.5,17.5,1.15,7,15,1.15,7,19,1.17,8.7,19,1.17,6.5,15,1.17,7.5,18,35,1.2,1.15,8.85,7.36,20,15.72,27,1.46,1.41,3,2.76,14,-2,1.89,1.84,2.06,2.01,1.2,7.5,16.5\r
P1,17/09/17,Belenenses,Estoril,2,1,H,0,0,D,2.3,3.1,3.3,2.2,3.1,3.4,2.2,3.1,3.3,2.25,3,3.2,2.32,3.3,3.44,2.25,3.1,3.2,2.38,3.13,3.25,35,2.45,2.28,3.3,3.1,3.44,3.24,30,2.35,2.27,1.66,1.59,13,-0.25,2.09,2.01,1.91,1.85,2.47,3.32,3.14\r
P1,17/09/17,Rio Ave,Porto,1,2,A,0,0,D,9,4.5,1.36,9,4.5,1.36,7.5,4.3,1.4,,,,8.9,4.72,1.43,8.5,4.4,1.36,9,4.5,1.4,33,9,8.13,4.9,4.45,1.43,1.39,32,2.01,1.9,1.95,1.87,13,1.25,1.92,1.86,2.08,1.99,9.48,4.35,1.45\r
P1,17/09/17,Sp Braga,Guimaraes,2,1,H,2,1,H,1.95,3.2,4.2,1.91,3.4,4,2,3.2,3.75,1.95,3.25,3.6,2.09,3.48,3.88,2,3.4,3.5,2.05,3.4,3.8,35,2.09,1.99,3.48,3.32,4.2,3.72,34,2.04,1.95,1.89,1.82,14,-0.5,2.08,2.02,1.89,1.84,1.83,3.79,4.67\r
P1,18/09/17,Chaves,Moreirense,3,0,H,1,0,H,2.15,3,3.8,2.2,3.2,3.3,2.2,3.1,3.3,2.1,3,3.5,2.14,3.32,3.89,2.05,3.2,3.6,2.1,3.2,3.8,34,2.2,2.11,3.32,3.16,3.89,3.56,29,2.35,2.27,1.65,1.6,13,-0.25,1.83,1.8,2.12,2.06,2.25,3.19,3.73\r
P1,18/09/17,Portimonense,Feirense,2,1,H,2,1,H,2.15,3.1,3.6,2.2,3.1,3.4,2.2,3.1,3.3,2.2,3,3.25,2.28,3.27,3.57,2.2,3.1,3.3,2.2,3.2,3.5,35,2.28,2.2,3.29,3.15,3.7,3.33,31,2.28,2.19,1.71,1.64,12,-0.25,1.93,1.89,2.02,1.96,1.95,3.5,4.39\r

