name,ideology
liberal party of australia,conservative
country party,conservative
australian labor party,social democrat
free trade party,liberal democrat
commonwealth liberal party,liberal democrat
anti-socialist party,liberal democrat
protectionist party,social democrat
united australia party,conservative
nationalist party,conservative
