group,1,2,3,4
Group A,France,Romania,Albania,Switzerland
Group B,England,Russia,Wales,Slovakia
Group C,Germany,Ukraine,Poland,Northern Ireland
Group D,Spain,Czech Republic,Turkey,Croatia
Group E,Belgium,Italy,Rep Ireland,Sweden
Group F,Portugal,Iceland,Austria,Hungary
