name,ideology
national democratic party,social democrat
people's national congress,social democrat
people's national congress/reform,social democrat
independent,other
people's progressive party/civic,social democrat
guyana action party/working people's alliance,social democrat
people's national congress reform/one guyana,social democrat
people's progressive party,social democrat
