CD_YEAR|CD_MUNTY_REFNIS|MS_NBR_NON_ZERO_INC|MS_NBR_ZERO_INC|MS_TOT_NET_TAXABLE_INC|MS_TOT_NET_INC|MS_NBR_TOT_NET_INC|MS_REAL_ESTATE_NET_INC|MS_NBR_REAL_ESTATE_NET_INC|MS_TOT_NET_MOV_ASS_INC|MS_NBR_NET_MOV_ASS_INC|MS_TOT_NET_VARIOUS_INC|MS_NBR_NET_VARIOUS_INC|MS_TOT_NET_PROF_INC|MS_NBR_NET_PROF_INC|MS_SEP_TAXABLE_INC|MS_NBR_SEP_TAXABLE_INC|MS_JOINT_TAXABLE_INC|MS_NBR_JOINT_TAXABLE_INC|MS_TOT_DEDUCT_SPEND|MS_NBR_DEDUCT_SPEND|MS_TOT_STATE_TAXES|MS_NBR_STATE_TAXES|MS_TOT_MUNICIP_TAXES|MS_NBR_MUNICIP_TAXES|MS_TOT_SUBURBS_TAXES|MS_NBR_SUBURBS_TAXES|MS_TOT_TAXES|MS_NBR_TOT_TAXES|MS_TOT_RESIDENTS|TX_MUNTY_DESCR_NL|TX_MUNTY_DESCR_FR|CD_DSTR_REFNIS|TX_ADM_DSTR_DESCR_NL|TX_ADM_DSTR_DESCR_FR|CD_PROV_REFNIS|TX_PROV_DESCR_NL|TX_PROV_DESCR_FR|CD_RGN_REFNIS|TX_RGN_DESCR_NL|TX_RGN_DESCR_FR
2005|11001|8065|381|260615502.8|263021930.86|8065|2857128.46|815|614863.85|94|454013.44|160|259095925.11|8016|14564091.49|1680|246051411.31|8062|2406428.06|2549|68889384.55|6567|2716191.82|6474|0|0|71605576.37|6578|14375|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11001|8155|261|267383510.81|270527005.79|8155|2945477.61|830|300368.82|100|616256.92|156|266664902.44|8112|13441786.49|1891|253941724.32|8152|3143494.98|2383|70350756.44|6656|2775182.19|6547|0|0|73125938.63|6667|14325|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11001|8153|266|279781832.25|283445911.83|8153|2954362.27|822|323008.45|104|637938.45|140|279530602.66|8115|21357544.64|1766|258424287.61|8150|3664079.58|2578|72382059.11|6607|2869414.87|6518|0|0|75251473.98|6631|14267|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11001|8285|428|285969483.43|290370590.37|8285|2996274.05|814|438376.6|129|440221.42|136|286495718.3|8253|18657486.4|1833|267311997.03|8284|4401106.94|2610|73994209.91|6697|2937264.38|6592|0|0|76931474.29|6730|14265|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11001|8236|530|294151155.64|299126065.18|8236|2990552.63|808|1625597.45|143|477309.29|146|294032605.81|8190|21023479.75|1773|273127675.89|8234|4974909.54|2779|72810166.85|6712|2938991.27|6574|0|0|75749158.12|6749|14290|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11001|8280|517|291155031.55|296694329.7|8280|3153190.1|857|881371.43|155|445169.23|118|292214598.94|8248|16616853.12|1757|274538178.43|8275|5539298.15|2941|73378652.07|6785|2911378.15|6561|0|0|76290030.22|6799|14311|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11001|8145|427|303129330.45|309364932.47|8145|3239924.76|879|1114209.88|205|347656.34|108|304663141.49|8120|20520411.48|1789|282608918.97|8143|6235602.02|2832|75741106.38|6982|3002363.13|6542|0|0|78743469.51|6990|14281|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11001|8117|375|311339152.59|317362184.39|8117|3491439.73|912|4385843.96|370|349674.47|113|309135226.23|8080|18512145.09|1847|292827007.5|8116|6023031.8|1558|78832706.38|6995|3859283.93|6596|0|0|82691990.31|7001|14226|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11001|8075|348|312060895.46|318621520.17|8075|3580307.55|1059|1452012.99|338|575811.4|120|313013388.23|8044|15382616.84|1803|296678278.62|8073|6560624.71|1602|79674794.78|6955|3938478.97|6553|0|0|83613273.75|6966|14207|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11002|265752|21131|5971117324.1|6028161718.6|265752|67085112.35|18674|13966472.31|2036|14504003.19|4620|5932606130.7|264303|202521313.31|57077|5768596010.8|265646|57044394.48|61824|1293330609.9|204285|103074211.02|193507|0|0|1396404820.9|204933|461496|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11002|271395|25934|6187862496.8|6265375494.2|271395|67662355.39|18370|14924521.26|2084|17619065.82|4580|6165169551.7|269966|202496624.43|61552|5985365872.4|271287|77512997.42|62003|1335456419.8|207745|106554972.48|196339|0|0|1442011392.2|208492|466203|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11002|278232|29427|6475048564.3|6575056218.6|278232|66782884.25|17955|15188498.99|2412|15855536.78|4533|6477229298.5|276887|244495526.41|61940|6230553037.9|278094|100007654.26|70186|1388144359.1|210931|111595078.66|199922|0|0|1499739437.8|212647|472071|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11002|281656|32408|6821664111.1|6941702685.1|281656|66784854.45|17734|18614904.72|3735|14732273.14|3984|6841570652.8|280352|250728520.79|64022|6570935590.3|281550|120038574.02|73620|1466834459|215661|118305964.09|203277|0|0|1585140423.1|217869|477936|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11002|281530|35255|6923862081.4|7066174466.3|281530|69285869.64|18056|17930445.59|3723|15073908.38|3999|6963884242.7|280113|256869981.37|61609|6666992100|281419|142312384.88|80613|1406375296.6|214888|115999957.62|201213|0|0|1522375254.2|217840|483505|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11002|283681|38292|7013860830.7|7174244325.3|283681|70397976.37|18283|19868884.28|3816|12846316.37|3382|7071131148.3|282470|275386533.15|64822|6738474297.5|283548|160383494.61|85910|1454263391.1|219254|117162685.99|202396|0|0|1571426077|220775|493517|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11002|285142|34081|7265265211|7445719553.1|285142|72124766.43|18338|24562128.3|4542|11867080.65|3196|7337165577.7|284017|269960814.16|66369|6995304396.8|285025|180454342.06|86252|1504494280.4|237094|120949299.67|204190|0|0|1625443580.1|237780|502604|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11002|282678|32583|7534323945.6|7714930941.3|282678|72680047.56|18314|74289870.27|7722|11299623.44|3051|7556661400.1|281587|300232667.49|66317|7234091278.1|282556|180606995.75|49782|1569090722.5|236658|124946229.18|203393|0|0|1694036951.7|237313|507911|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11002|282801|32880|7684506183.9|7882264433.5|282801|81499603.26|20962|47919685.28|7262|10255681.43|2833|7742589463.6|281666|282268169.6|67141|7402238014.3|282681|197758249.69|52308|1600269952.6|235660|128021849.42|203054|0|0|1728291802|236305|510610|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11004|6621|510|189653427.66|191556797.84|6621|2366766.38|635|172912.58|70|378403.3|123|188638715.58|6596|6307290.16|1285|183346137.5|6620|1903370.18|2148|48414846.43|5063|3671106.06|4969|0|0|52085952.49|5070|12090|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11004|6812|450|202450582.72|204799218.74|6812|2452961.98|650|174689.21|74|456316.93|124|201715250.62|6783|11565830.74|1402|190884751.98|6809|2348636.02|2040|51352779.04|5160|3696020.42|5051|0|0|55048799.46|5166|12149|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11004|7014|445|210860536.4|213948805.72|7014|2602567.11|666|274981.86|73|445449.2|131|210625807.55|6979|9764269.75|1435|201096266.65|7011|3088269.32|2277|53401560.74|5292|3866836.38|5197|0|0|57268397.12|5318|12335|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11004|7191|452|225801543.94|229611720.93|7191|2596899.5|689|390746.05|98|462379.74|116|226161695.64|7162|9608377.74|1559|216193166.2|7188|3810176.99|2429|57430045.3|5534|4174895.24|5427|0|0|61604940.54|5563|12589|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11004|7232|521|235235415.76|239768653.37|7232|2818937.98|735|363680.43|111|418002.85|132|236168032.11|7199|12844614.34|1559|222390801.42|7231|4533237.61|2594|57250850.42|5615|4232162.72|5470|0|0|61483013.14|5652|12749|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11004|7286|532|237173472.69|242276617.97|7286|2918232.49|762|499043.92|123|418250.82|123|238441090.74|7252|11857658.22|1509|225315814.47|7285|5103145.28|2758|58810842.96|5721|4258550.78|5507|0|0|63069393.74|5739|12728|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11004|7239|438|246504398.24|252260524.74|7239|3105131.88|777|716414.08|150|692004.68|124|247746974.1|7196|12420306.69|1488|234084091.55|7236|5756126.5|2669|62129685.19|5944|4493857.83|5475|0|0|66623543.02|5950|12724|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11004|7187|383|256124932.13|261512214.37|7187|3175200.51|786|1971468.49|292|475267.73|120|255890277.64|7150|12952657.91|1607|243172274.22|7184|5387282.24|1478|64459222.55|5975|4652064.69|5525|0|0|69111287.24|5986|12774|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11004|7201|394|264436432.24|270142570.11|7201|3452145.2|872|957159.42|291|741678.13|113|264991587.36|7166|14389991.66|1621|250046440.58|7197|5706137.87|1486|67004678.65|6021|4853900.7|5559|0|0|71858579.35|6033|12804|Boechout|Boechout|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11005|9374|499|220883211.75|223136077.18|9374|1778837.28|434|64787.13|34|326066.1|135|220966386.67|9340|5034252.67|1823|215848959.08|9370|2252865.43|2446|48281980.95|7201|4024231.92|6968|0|0|52306212.87|7210|16096|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11005|9613|381|230628031.36|233927183.88|9613|1860879.79|453|72486.78|37|432287.14|147|231561530.17|9579|5962025.72|2067|224666005.64|9613|3299152.52|2404|50425961.34|7395|4200538.34|7136|0|0|54626499.68|7403|16326|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11005|9678|296|239644974.67|243894680.9|9678|1804217.1|436|150559.96|58|359473.49|135|241580430.35|9645|7586431.95|2192|232058542.72|9672|4249706.23|2686|52218288.39|7467|4376599.72|7222|0|0|56594888.11|7500|16434|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11005|9787|275|253347193.23|258597131.66|9787|1774210.98|447|281135.64|87|308395.38|117|256233389.66|9755|8978437.43|2241|244368755.8|9782|5249938.43|2947|55216557.46|7655|4646496.89|7375|0|0|59863054.35|7698|16598|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11005|9767|561|256917367.55|263263243.74|9767|1876404.36|471|265475.9|91|370018.93|123|260751344.55|9735|8539878.04|2158|248377489.51|9767|6345876.19|3198|53289525.15|7695|4576564.78|7332|0|0|57866089.93|7740|16709|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11005|9825|600|260793901.71|267907424.95|9825|1871283.26|467|359761.27|90|606600.1|110|265069780.32|9794|9926879.66|2222|250867022.05|9823|7113523.24|3345|55344510.16|7828|4633386.57|7408|0|0|59977896.73|7867|16989|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11005|9773|484|266081502.16|274040255.76|9773|1809727.53|457|388166.83|104|305063.22|106|271537298.18|9744|8096834.03|2286|257984668.13|9771|7958753.6|3354|56509739|8102|4722391.75|7374|0|0|61232130.75|8108|17166|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11005|9725|472|274602672.99|282847937.72|9725|1796632.91|447|1044801.53|205|410570.67|109|279595932.61|9698|8344407.67|2301|266258265.32|9724|8245264.73|2303|58245204.47|8167|4857469.64|7373|0|0|63102674.11|8172|17227|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11005|9705|440|280455477.34|289321337.64|9705|1877717.98|553|378895.35|149|309469.16|103|286755255.15|9674|8236622.81|2217|272218854.53|9703|8865860.3|2364|59673164.14|8117|4987827.46|7309|0|0|64660991.6|8123|17231|Boom|Boom|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11007|6099|427|156613208.44|158041251.63|6099|1916405.78|422|155530.29|42|277494.57|103|155691820.99|6080|5133278.26|1347|151479930.18|6098|1428043.19|1677|37692520.8|4924|2218386.24|4793|0|0|39910907.04|4925|10257|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11007|6195|345|162042126.58|163912667.26|6195|1915348.52|428|161673.72|44|383988.17|90|161451656.85|6181|5303468.41|1480|156738658.17|6192|1870540.68|1583|38869295.55|4972|2287057.61|4853|0|0|41156353.16|4974|10224|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11007|6195|343|166681767.35|168938323.73|6195|1888790.51|416|189514.43|54|195516.61|95|166664502.18|6181|6696541.37|1450|159985225.98|6195|2256556.38|1739|39148893.48|4982|2322276.7|4887|0|0|41471170.18|5002|10132|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11007|6237|301|173696024.16|176391806.73|6237|1967423.31|442|172896.47|66|186895.95|94|174064591|6223|5844536.31|1430|167851487.85|6236|2695782.57|1793|41395669.41|5024|2457909.86|4906|0|0|43853579.27|5050|10136|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11007|6138|403|177505794.39|180600984.71|6138|2044294.3|446|228613.86|64|178895.19|81|178149181.36|6119|9172216.52|1374|168333577.87|6138|3095190.32|1861|39808530.11|4995|2414957.62|4832|0|0|42223487.73|5043|10125|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11007|6167|379|176663662.51|180203675.8|6167|2025561.72|453|368158.1|68|160381.25|72|177649574.73|6152|7866557.28|1425|168797105.23|6164|3540013.29|2037|40640656.68|5050|2408821.35|4838|0|0|43049478.03|5072|10207|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11007|6166|306|181124576.34|185111679.78|6166|2017167.8|458|311056.76|80|123355.89|67|182660099.33|6155|8003569.86|1435|173121006.48|6164|3987103.44|1996|41066601.61|5309|2434260.66|4842|0|0|43500862.27|5314|10233|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11007|6036|264|186362765.5|190305716.36|6036|2163964.62|475|711764.09|135|156512.36|56|187273475.29|6027|9622266.78|1394|176740498.72|6033|3942950.86|1145|42068983.07|5247|2479356.99|4806|0|0|44548340.06|5248|10278|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11007|6040|293|189059429.34|193448677.49|6040|2247228.6|541|474104.61|136|97376.69|43|190629967.59|6026|7572826.95|1418|181486602.39|6039|4389248.15|1176|42775263.36|5241|2949265.17|4827|0|0|45724528.53|5243|10451|Borsbeek|Borsbeek|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11008|20862|1967|630735459.79|637183818.8|20862|16685885.07|2215|20933119|560|2068435.08|539|597496379.65|20525|51591043.16|4509|579144416.63|20824|6448359.01|6222|153242794.35|16182|9366344.68|15929|0|0|162609139.03|16313|37282|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11008|21146|1785|646112223.04|653834473.56|21146|16847253.65|2238|16656889.59|567|2642051.91|509|617688278.41|20846|44199124.12|4849|601913098.92|21125|7722250.52|5902|155085886.2|16309|9573895.49|16066|0|0|164659781.69|16443|37133|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11008|21301|1816|666736543.72|676029554.79|21301|15092594.41|2273|21179053.32|607|1782174.08|461|637975732.98|21033|50036679.44|4890|616699864.28|21282|9293011.07|6365|161077349.14|16405|9902299.44|16192|0|0|170979648.58|16589|37190|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11008|21489|1699|701410949.6|712083810.76|21489|15544768.18|2310|25876209.23|689|1995611.33|453|668667222.02|21222|59098694.63|4864|642312254.97|21457|10672861.16|6634|167850951.44|16758|10365456.71|16397|0|0|178216408.15|16973|37014|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11008|21369|1761|696634825.92|708912802.78|21369|16904372.61|2385|17858582.08|784|2160680.86|477|671989167.23|21090|49355892.8|4806|647278933.12|21341|12277976.86|7060|159767496.07|16724|9978100.9|16294|0|0|169745596.97|16979|36949|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11008|21496|1865|712957136.63|726822749.96|21496|17830313.38|2507|21109759.27|785|1935832.66|411|685946844.65|21264|56378051.21|4883|656579085.42|21480|13865613.33|7447|164414175.07|17116|10017496.92|16406|0|0|174431671.99|17257|37189|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11008|21357|1552|743753168.85|759275180.68|21357|25890289.75|2482|23688129.49|853|1911649|385|707785112.44|21174|56458667.09|5105|687294501.76|21345|15522011.83|7400|168421729.02|18081|10331721.5|16458|0|0|178753450.52|18172|37301|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11008|21084|1390|771240787.27|786304597.1|21084|19318557.7|2557|32067060.49|1230|2039388.74|348|732879590.17|20913|63930393.15|5078|707310394.12|21064|15063809.83|3818|182136903.91|18037|10781220.3|16510|0|0|192918124.21|18137|37286|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11008|21307|1373|786724243.8|803241810.19|21307|20147670.91|2914|27455943.86|1136|2653001.15|351|752985194.27|21114|59417141.28|5060|727307102.52|21299|16517566.39|4009|187550333.25|18106|11136920.68|16648|0|0|198687253.93|18214|37502|Brasschaat|Brasschaat|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11009|14278|894|388008700.37|391913178.91|14278|3945661.35|1302|627111.19|116|554795.72|173|386785610.65|14202|17526896.39|3010|370481803.98|14272|3904478.54|4010|90325943.63|10945|5896827.04|10780|0|0|96222770.67|11093|26464|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11009|14687|855|408666026.8|413940470.45|14687|4174089.4|1338|733834.42|130|698856.76|186|408333689.87|14623|16451819|3224|392214207.8|14674|5274443.65|3881|95177025.79|11325|6236099.05|11169|0|0|101413124.84|11465|26730|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11009|15030|898|431509780.77|438365737.83|15030|4263504.47|1338|542334.47|150|677213.04|197|432882685.85|14966|18334028.99|3343|413175751.78|15019|6855957.06|4286|100314730.26|11538|7168159.51|11422|0|0|107482889.77|11718|27169|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11009|15230|903|459779149.81|468147757.08|15230|4459536.98|1375|903466.21|228|569699.5|205|462215054.39|15152|22233122.15|3330|437546027.66|15226|8368607.27|4538|107281569.67|11834|7680767.36|11649|0|0|114962337.03|12032|27406|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11009|15225|999|464806839.07|474680822.25|15225|4973800.87|1430|1040088.36|235|825071.4|200|467841861.62|15154|16938022.48|3397|447868816.59|15220|9873983.18|4870|103289843.9|11897|7565398.12|11662|0|0|110855242.02|12108|27597|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11009|15494|1017|489191845.47|500453829.11|15494|5161261.32|1502|8090707.99|255|677183.39|174|486524676.41|15417|29524254.88|3408|459667590.59|15482|11261983.64|5183|110627220.05|12245|7885574.96|11874|0|0|118512795.01|12385|27801|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11009|15439|851|499355827.63|512180078.31|15439|5264693.96|1552|975370.09|277|737067.24|167|505202947.02|15375|19319636.13|3607|480036191.5|15436|12824250.68|5253|114308074.64|12942|8151387.7|12010|0|0|122459462.34|13029|27906|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11009|15456|713|525082787.9|538126357.29|15456|5707226.36|1612|3696667.86|455|609727.08|179|528112735.99|15392|23505078.34|3588|501577709.56|15451|13043569.39|3501|121655946.45|13106|8598806.98|12230|0|0|130254753.43|13194|28016|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11009|15593|722|536043480.06|550342175.63|15593|6673877.35|1923|1605948.7|416|477263.96|170|541585085.62|15530|22042320|3736|514001160.06|15588|14298695.57|3665|125624453.45|13198|8818930.14|12306|0|0|134443383.59|13278|28174|Brecht|Brecht|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11013|12537|899|378928438.89|382382914.09|12537|3579765.56|1129|826687.75|167|1231611.24|319|376744849.54|12474|18795202.12|2670|360133236.77|12529|3454475.2|4121|98148931.7|10053|6994001.79|9887|0|0|105142933.49|10071|21668|Edegem|Edegem|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11013|12657|843|386167224.49|390559753.39|12657|3619133.06|1149|860082.29|186|1307122.4|323|384773415.64|12591|17113700.9|2793|369053523.59|12651|4392528.9|3834|99225168.49|10158|7093301.96|9958|0|0|106318470.45|10171|21616|Edegem|Edegem|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
