name,ideology
Azerbaijan Political Party of Democratic Reforms,other
New Azerbaijan Party,regionalist
Whole Azerbaijan Popular Front Party,liberal democrat
Civil Union Party,social democrat
Azerbaijan Social Welfare Party,social democrat
Independent,other
